時間,設備,值
2024-10-26 11:21:05,SA-08/LED_LEVEL,7
2024-10-26 11:21:06,SA-08/TEMP,32.66
2024-10-26 11:21:06,SA-08/LIGHT_LEVEL,1
2024-10-26 11:21:12,SA-08/TEMP,33.13
2024-10-26 11:21:14,SA-08/TEMP,32.66
2024-10-26 11:21:16,SA-08/TEMP,33.13
2024-10-26 11:21:18,SA-08/TEMP,32.66
2024-10-26 11:21:22,SA-08/LED_LEVEL,6
2024-10-26 11:21:24,SA-08/LED_LEVEL,5
2024-10-26 11:21:24,SA-08/LED_LEVEL,4
2024-10-26 11:21:27,SA-08/LED_LEVEL,5
2024-10-26 11:21:27,SA-08/LED_LEVEL,6
2024-10-26 11:21:30,SA-08/LIGHT_LEVEL,0
2024-10-26 11:21:36,SA-08/TEMP,33.13
2024-10-26 11:21:36,SA-08/LIGHT_LEVEL,1
2024-10-26 11:21:38,SA-08/TEMP,33.6
2024-10-26 11:21:40,SA-08/TEMP,34.07
2024-10-26 11:21:44,SA-08/LED_LEVEL,5
2024-10-26 11:21:44,SA-08/LED_LEVEL,4
2024-10-26 11:21:48,SA-08/TEMP,33.6
2024-10-26 11:21:50,SA-08/TEMP,34.07
2024-10-26 11:21:52,SA-08/TEMP,33.6
2024-10-26 11:22:24,SA-08/TEMP,32.66
2024-10-26 11:22:26,SA-08/TEMP,33.13
2024-10-26 11:22:28,SA-08/TEMP,32.66
2024-10-26 11:22:30,SA-08/TEMP,33.6
2024-10-26 11:22:32,SA-08/TEMP,33.13
2024-10-26 11:22:36,SA-08/TEMP,32.66
2024-10-26 11:22:38,SA-08/TEMP,33.13
2024-10-26 11:22:44,SA-08/TEMP,32.66
2024-10-26 11:22:46,SA-08/TEMP,33.13
2024-10-26 11:22:54,SA-08/TEMP,32.66
2024-10-26 11:22:56,SA-08/TEMP,33.13
2024-10-26 11:23:04,SA-08/TEMP,32.66
2024-10-26 11:23:12,SA-08/TEMP,33.6
2024-10-26 11:23:14,SA-08/TEMP,32.66
