時間,設備,值
2024-10-26 13:58:01,SA-08/LED_LEVEL,4
2024-10-26 13:58:19,SA-08/LED_LEVEL,5
2024-10-26 13:58:20,SA-08/LED_LEVEL,6
2024-10-26 13:58:22,SA-08/LED_LEVEL,7
2024-10-26 13:58:22,SA-08/LED_LEVEL,8
2024-10-26 13:58:23,SA-08/LED_LEVEL,9
2024-10-26 13:58:24,SA-08/LED_LEVEL,10
2024-10-26 13:58:27,SA-08/LED_LEVEL,9
2024-10-26 13:58:27,SA-08/LED_LEVEL,8
2024-10-26 13:58:27,SA-08/LED_LEVEL,7
2024-10-26 13:58:28,SA-08/LED_LEVEL,6
2024-10-26 13:58:29,SA-08/LED_LEVEL,5
2024-10-26 13:58:30,SA-08/LED_LEVEL,4
2024-10-26 13:58:48,SA-08/LED_LEVEL,5
2024-10-26 13:58:49,SA-08/LED_LEVEL,6
2024-10-26 13:59:03,SA-08/LED_LEVEL,5
2024-10-26 13:59:16,SA-08/LED_LEVEL,6
2024-10-26 13:59:17,SA-08/LED_LEVEL,7
2024-10-26 13:59:17,SA-08/LED_LEVEL,8
2024-10-26 13:59:18,SA-08/LED_LEVEL,6
2024-10-26 13:59:18,SA-08/LED_LEVEL,5
2024-10-26 13:59:19,SA-08/LED_LEVEL,4
2024-10-26 13:59:45,SA-08/LED_LEVEL,5
2024-10-26 13:59:47,SA-08/LED_LEVEL,6
2024-10-26 13:59:48,SA-08/LED_LEVEL,4
2024-10-26 13:59:48,SA-08/LED_LEVEL,3
2024-10-26 14:16:54,SA-08/LED_LEVEL,3
2024-10-26 14:17:17,SA-08/LED_LEVEL,4
2024-10-26 14:17:18,SA-08/LED_LEVEL,5
2024-10-26 14:17:18,SA-08/LED_LEVEL,6
2024-10-26 14:17:19,SA-08/LED_LEVEL,7
2024-10-26 14:17:20,SA-08/LED_LEVEL,5
2024-10-26 14:17:21,SA-08/LED_LEVEL,3
2024-10-26 15:29:05,SA-08/LED_LEVEL,6
2024-10-26 15:29:13,SA-08/LED_LEVEL,7
2024-10-26 15:29:14,SA-08/LED_LEVEL,8
2024-10-26 15:29:14,SA-08/LED_LEVEL,9
2024-10-26 15:29:15,SA-08/LED_LEVEL,7
2024-10-26 15:29:16,SA-08/LED_LEVEL,5
2024-10-26 15:29:16,SA-08/LED_LEVEL,4
2024-10-26 15:30:39,SA-08/LED_LEVEL,4
2024-10-26 15:30:53,SA-08/LED_LEVEL,5
2024-10-26 15:30:53,SA-08/LED_LEVEL,6
2024-10-26 15:30:53,SA-08/LED_LEVEL,8
2024-10-26 15:30:53,SA-08/LED_LEVEL,7
2024-10-26 15:30:54,SA-08/LED_LEVEL,5
2024-10-26 15:30:58,SA-08/LED_LEVEL,3
2024-10-26 15:30:58,SA-08/LED_LEVEL,1
2024-10-26 15:30:58,SA-08/LED_LEVEL,4
2024-10-26 15:30:58,SA-08/LED_LEVEL,6
2024-10-26 15:31:04,SA-08/LED_LEVEL,4
2024-10-26 15:31:04,SA-08/LED_LEVEL,3
2024-10-26 15:31:04,SA-08/LED_LEVEL,2
2024-10-26 15:31:05,SA-08/LED_LEVEL,1
2024-10-26 15:33:23,SA-08/LED_LEVEL,1
2024-10-26 15:33:36,SA-08/LED_LEVEL,2
2024-10-26 15:33:36,SA-08/LED_LEVEL,3
2024-10-26 15:33:37,SA-08/LED_LEVEL,4
2024-10-26 15:34:19,SA-08/LED_LEVEL,5
2024-10-26 15:34:20,SA-08/LED_LEVEL,6
2024-10-26 15:34:22,SA-08/LED_LEVEL,7
2024-10-26 15:34:22,SA-08/LED_LEVEL,8
2024-10-26 15:34:28,SA-08/LED_LEVEL,7
2024-10-26 15:34:28,SA-08/LED_LEVEL,6
2024-10-26 15:34:28,SA-08/LED_LEVEL,5
2024-10-26 15:34:29,SA-08/LED_LEVEL,3
2024-10-26 15:34:30,SA-08/LED_LEVEL,2
2024-10-26 15:34:46,SA-08/LED_LEVEL,0
2024-10-26 15:34:47,SA-08/LED_LEVEL,4
2024-10-26 15:34:50,SA-08/LED_LEVEL,7
2024-10-26 15:34:50,SA-08/LED_LEVEL,10
2024-10-26 15:34:50,SA-08/LED_LEVEL,7
2024-10-26 15:34:50,SA-08/LED_LEVEL,4
2024-10-26 15:35:55,SA-08/LED_LEVEL,3
2024-10-26 15:35:55,SA-08/LED_LEVEL,2
2024-10-26 15:35:56,SA-08/LED_LEVEL,1
2024-10-26 15:36:46,SA-08/LED_LEVEL,4
2024-10-26 15:37:09,SA-08/LED_LEVEL,5
2024-10-26 15:37:09,SA-08/LED_LEVEL,4
2024-10-26 15:39:45,SA-08/LED_LEVEL,5
2024-10-26 15:39:45,SA-08/LED_LEVEL,4
2024-10-26 15:42:09,SA-08/LED_LEVEL,5
2024-10-26 15:42:09,SA-08/LED_LEVEL,4
2024-10-26 15:42:55,SA-08/LED_LEVEL,5
2024-10-26 15:42:55,SA-08/LED_LEVEL,4
2024-10-26 15:43:21,SA-08/LED_LEVEL,5
2024-10-26 15:43:21,SA-08/LED_LEVEL,4
2024-10-26 15:43:31,SA-08/LED_LEVEL,5
2024-10-26 15:43:31,SA-08/LED_LEVEL,4
2024-10-26 15:45:39,SA-08/LED_LEVEL,5
2024-10-26 15:45:39,SA-08/LED_LEVEL,4
2024-10-26 15:48:53,SA-08/LED_LEVEL,5
2024-10-26 15:48:53,SA-08/LED_LEVEL,4
2024-10-26 16:04:07,SA-08/LED_LEVEL,2
2024-10-26 16:04:11,SA-08/LED_LEVEL,4
2024-10-26 16:04:11,SA-08/LED_LEVEL,5
2024-10-26 16:04:12,SA-08/LED_LEVEL,6
2024-10-26 16:04:12,SA-08/LED_LEVEL,8
2024-10-26 16:04:13,SA-08/LED_LEVEL,9
2024-10-26 16:04:13,SA-08/LED_LEVEL,10
2024-10-26 16:04:14,SA-08/LED_LEVEL,8
2024-10-26 16:04:14,SA-08/LED_LEVEL,4
